,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
統括A,,,,,,,,,責,責,責,責,責,,,,責,,,,,,,責,,,,,,,
副統括A,,,,,,,,責,,,,,,,,,,,責,,,,,事,責,,,責,責,責,
火葬員A,,人,,人,,,,,人,,,,,人,,,人,,,,,人,,人,,,,,,,
火葬員B,,,,,,,人,,,,,,,,,,人,人,,人,人,,,,,,,人,人,,
火葬員C,人,,,,,,,,,,,,,,,,,,人,,,,,人,人,,人,人,人,,
火葬員D,人,人,人,人,,,,,,,,,,,,,,,,,,,,,人,,,人,人,,
火葬員E,,,,,,,人,人,,人,,人,人,,人,人,,,,,,,,,,,,,,,
火葬員F,,,,,,,,,,,,人,,人,,,,人,人,,,人,,人,人,,,,,,
清掃員A,清,,清,,清,清,,,,,,,,,,,,,,,,,,,,,,,清,清,清
清掃員B,,,清,清,,,,,,,,,,,,,清,,清,清,,清,,,,清,,,,,
清掃員C,,,,,,,,,,,,清,,,,,清,,,,,,,,清,清,,,清,清,清
清掃員D,清,,,清,,清,,,清,,,清,,,,,,,,,,清,,,清,,,,,,
売店従業員A,,,,売,,,,,,,,,,,,,,,,売,,売,,売,,,売,,売,,売
売店従業員B,,,,売,,,,,,,,,,売,売,売,売,,売,,,,,,,,,,売,,
売店従業員C,,,,,,,,,,,,,,,売,売,売,売,売,,,,,売,売,,,,,,
霊柩運送員A,,,,,,,,,,,,,,,,,運,運,,運,,運,,,運,運,,,運,,
霊柩運送員B,,,,,,,,,,,,運,,,,運,,,,,,,,,運,運,運,運,,運,
霊柩運送員C,,,,,,,,,,,,運,,運,,運,,,,,,,,,,,運,運,運,運,
剣士A,,,,,火,,,,,,,火,,,,,,,火,,火,,,火,火,,,,,,
剣士B,火,火,,火,,火,火,火,,,,,,,,,,,,,,,,,,,,,,,
剣士C,,,,,,,,,,,,,,火,火,火,,火,,火,,,,,,,,,,,火
剣士D,,,,,,,,,,,火,,火,,,,火,,,,,火,,,,,,火,,火,
海賊王A,,,火,,,,,,火,火,,,,,,,,,,,,,火,,,火,火,,火,,
パート長A,,人,動,,動,人,人,,人,人,人,,人,動,人,,人,人,人,,人,人,動,,,動,,動,,人,人
パート長B,人,人,,人,人,人,,人,人,人,,人,人,,,人,人,,,動,人,,人,人,,人,人,人,,人,人
パート長C,,人,人,人,,人,人,人,,人,人,,人,人,動,,人,,人,,動,人,人,,人,人,動,,動,人,人
パート長D,人,,,人,人,人,,人,人,人,,動,人,,人,人,,人,,人,人,動,,動,人,人,,人,人,人,
パート短A,,動,人,,人,人,,人,人,,人,人,,人,人,動,,動,人,人,,人,人,人,,,人,人,人,,人
パート短B,人,人,人,,人,人,人,,動,動,人,,人,人,,人,動,,人,人,人,,人,人,,人,人,,,人,人
パート短C,人,,人,動,,動,動,動,,人,動,人,,人,人,人,,人,動,人,,,人,,動,人,人,,人,動,人
パート短D,動,,人,人,人,,人,人,人,,人,人,動,,人,人,,人,,人,人,人,,,人,人,人,,,人,動
N1,責,責,売,運,運,運,売,,運,運,清,,運,責,事,清,,運,,,清,事,売,清,,,清,清,,,
N2,売,清,運,運,,運,,事,,,事,売,運,売,清,,,清,運,,責,売,運,,,,,,,,
N3,運,運,,,,責,,清,,清,売,,事,清,運,清,,清,運,,運,,売,運,,,,,,,運
N4,,運,事,,,事,運,運,,売,清,,清,運,清,,,,,,運,,,清,事,,,,,,責
N5,,売,,,責,売,,清,,運,運,,清,,運,,,事,,責,売,,清,運,,,,清,,,
N6,,清,売,,囲,,,,事,売,運,,売,,,,,,,,清,,,,,売,清,,,,売
N7,事,,,,,,,,運,,,売,,清,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲
N8,囲,囲,囲,囲,清,囲,売,売,清,清,囲,囲,囲,囲,,,,,,,,,,,,事,,売,,事,
N9,運,,,,運,,,,売,事,,,,,,,,責,,事,,,運,,,,事,,,,
N10,,売,運,,,,運,,売,囲,,,,事,,事,,,,,,,責,,,,,,,,事
N11,,,,,,,清,運,,,,,,,,,,,,,,,,,,,売,,,,
N12,,,責,,,,事,売,,,売,,,,,,,,,,,,,,,,,,事,,
N13,,,,,,,,,囲,,,,,,,,,売,,売,,,,,,,,,,,
N14,,,,,,,,,,,,事,,,責,,事,,,,事,,,,,,,,,,
N15,,,,,,,清,,,,,,,,,責,,,,,,運,,,,売,,,,,
N16,,事,,,事,,,囲,,,,,,,,,,,,,,責,,,,,,,,,
N17,,,,,,,,,,,,,売,,,,運,,清,,売,,,,,,,売,,売,
N18,,,,事,売,,,,,,,,,,,,,,,運,,,清,,,,,事,,売,
N19,,,,責,売,売,囲,,,,,,,,,,,,事,清,,,,,,,,,,,
N20,売,,,,,,責,,,,,,,,,,,,,,,,事,,売,責,責,,,,運
