day,total_working,employee_count,part_timer_count,dummy_count,job_責任者,job_事務,job_囲炉裏,job_人火葬,job_動物火葬,job_運送,job_清掃,job_売店
1,13,3,4,6,0,0,0,0,0,0,0,0
2,13,5,4,4,0,0,0,0,0,0,0,0
3,13,3,3,7,0,0,0,0,0,0,0,0
4,13,9,1,3,0,0,0,0,0,0,0,0
5,13,13,0,0,0,0,0,0,0,0,0,0
6,13,11,2,0,0,0,0,0,0,0,0,0
7,13,11,1,1,0,0,0,0,0,0,0,0
8,13,4,5,4,0,0,0,0,0,0,0,0
9,13,1,5,7,0,0,0,0,0,0,0,0
10,13,6,4,3,0,0,0,0,0,0,0,0
11,13,6,4,3,0,0,0,0,0,0,0,0
12,13,4,4,5,0,0,0,0,0,0,0,0
13,13,7,4,2,0,0,0,0,0,0,0,0
14,13,6,3,4,0,0,0,0,0,0,0,0
15,13,5,4,4,0,0,0,0,0,0,0,0
16,13,6,5,2,0,0,0,0,0,0,0,0
17,13,8,2,3,0,0,0,0,0,0,0,0
18,13,6,5,2,0,0,0,0,0,0,0,0
19,13,1,5,7,0,0,0,0,0,0,0,0
20,13,2,5,6,0,0,0,0,0,0,0,0
21,13,2,5,6,0,0,0,0,0,0,0,0
22,13,3,5,5,0,0,0,0,0,0,0,0
23,13,5,5,3,0,0,0,0,0,0,0,0
24,13,10,1,2,0,0,0,0,0,0,0,0
25,13,12,1,0,0,0,0,0,0,0,0,0
26,13,11,1,1,0,0,0,0,0,0,0,0
27,13,10,3,0,0,0,0,0,0,0,0,0
28,13,4,5,4,0,0,0,0,0,0,0,0
29,13,4,5,4,0,0,0,0,0,0,0,0
30,13,7,4,2,0,0,0,0,0,0,0,0
