staff,total_workdays
統括A,8
統括B,1
統括C,0
統括D,9
統括E,4
統括F,9
副統括A,7
副統括B,7
副統括C,6
副統括D,10
副統括E,1
副統括F,0
火葬員A,29
火葬員B,29
火葬員C,29
火葬員D,29
火葬員E,29
火葬員F,29
清掃員A,8
清掃員B,9
清掃員C,21
清掃員D,20
清掃員E,3
清掃員F,1
売店従業員A,9
売店従業員B,11
売店従業員C,20
売店従業員D,19
売店従業員E,3
霊柩運送員A,8
霊柩運送員B,3
霊柩運送員C,17
霊柩運送員D,18
霊柩運送員E,16
パート長A,24
パート長B,0
パート長C,0
パート長D,1
パート長E,0
パート長F,2
パート短A,2
パート短B,3
パート短C,2
パート短D,2
パート短E,1
パート短F,1
N1,1
N2,0
N3,0
N4,0
N5,0
N6,0
N7,0
N8,0
N9,0
N10,0
N11,0
N12,0
N13,0
N14,6
N15,7
N16,7
N17,4
N18,3
N19,1
N20,2
